verbo_lema,frecuencia,tipo,relacion_canonica,cluster
dejastar,1,nueva_verbalizacion,representar,0
paliar,1,nueva_relacion,paliar,-1
aumentar,1,nueva_verbalizacion,representar,0
contraer,1,nueva_verbalizacion,representar,0
divertir,1,nueva_verbalizacion,representar,0
presenciar,1,nueva_verbalizacion,representar,0
desplazar,1,nueva_verbalizacion,representar,0
llevar él,1,nueva_verbalizacion,representar,0
pagar él,1,nueva_relacion,pagar él,-1
refundir,1,nueva_relacion,refundir,-1
andar,1,nueva_verbalizacion,representar,0
estubo,1,nueva_verbalizacion,representar,0
referir él,1,nueva_verbalizacion,representar,0
acordar,1,nueva_relacion,acordar,-1
ingresar,1,nueva_relacion,ingresar,-1
visitar,1,nueva_verbalizacion,representar,0
reunir,1,nueva_verbalizacion,representar,0
sobrevenir,1,nueva_relacion,sobrevenir,-1
guardar,1,nueva_verbalizacion,representar,0
reflejar,1,nueva_relacion,reflejar,-1
obrar,1,nueva_verbalizacion,representar,0
preparar,1,nueva_verbalizacion,representar,0
comprometer él,1,nueva_verbalizacion,representar,0
informar,1,nueva_verbalizacion,representar,0
informar él,1,nueva_verbalizacion,representar,0
estair,1,nueva_verbalizacion,representar,0
huvir,1,nueva_verbalizacion,representar,0
entretener,1,nueva_verbalizacion,representar,0
inquietar,1,nueva_relacion,inquietar,-1
atreveír,1,nueva_relacion,atreveír,-1
necesitar,1,nueva_verbalizacion,representar,0
descuidar,1,nueva_verbalizacion,representar,0
saber él,1,nueva_verbalizacion,representar,0
denominar,1,nueva_verbalizacion,representar,0
datar,1,nueva_verbalizacion,representar,0
alabar,1,nueva_relacion,alabar,-1
arrimar,1,nueva_verbalizacion,representar,0
represento él,1,nueva_verbalizacion,representar,0
emplear,1,nueva_verbalizacion,representar,0
fallecer,1,nueva_verbalizacion,representar,0
quar,1,nueva_verbalizacion,representar,0
exemplar,1,nueva_verbalizacion,representar,0
encubrir,1,nueva_verbalizacion,representar,0
ocasionar,1,nueva_verbalizacion,representar,0
encontrar él,1,nueva_relacion,encontrar él,-1
deducir él,1,nueva_verbalizacion,representar,0
güelir,1,nueva_verbalizacion,representar,0
nombrar él,1,nueva_verbalizacion,representar,0
entrar,1,nueva_verbalizacion,representar,0
tirar,1,nueva_verbalizacion,representar,0
guiar,1,nueva_verbalizacion,representar,0
subir él,1,nueva_verbalizacion,representar,0
estimar,1,nueva_verbalizacion,representar,0
remedar,1,nueva_relacion,remedar,-1
manifestar,1,nueva_verbalizacion,representar,0
rondar,1,nueva_verbalizacion,representar,0
destar,1,nueva_relacion,destar,-1
otorgar,1,nueva_verbalizacion,representar,0
rematar,1,nueva_verbalizacion,representar,0
invalidar,1,nueva_verbalizacion,representar,0
especificar,1,nueva_verbalizacion,representar,0
situar,1,nueva_verbalizacion,representar,0
confirmar,1,nueva_verbalizacion,representar,0
aplicar,1,nueva_verbalizacion,representar,0
